No.,Temple Name,Type,Temple Address,Villages,Districts,Regency,Province,Pos code,Latitude,Longitude
5183,Pura Taman,Pura Taman,"Jl. Ped - Buyuk, Ped, Klungkung, Klungkung, Bali, 80771",Ped,Klungkung,Klungkung,Bali,80771,-8.678079,115.5187434
5184,Pura Taman,Pura Taman,"Unnamed Road, Patas, Gerokgak, Buleleng, Bali, 81155",Patas,Gerokgak,Buleleng,Bali,81155,-8.2017169,114.7926765
5185,Pura Taman,Pura Taman,"Jl. Raya Puseh Batununggul, Batununggul, Nusapenida, Klungkung, Bali, 80771",Batununggul,Nusapenida,Klungkung,Bali,80771,-8.6765875,115.563149
5186,Pura Taman Abiantuwung,Pura Taman,"Abian Tuwung, Kediri, Tabanan, Bali, 82121",Abian Tuwung,Kediri,Tabanan,Bali,82121,-8.56025,115.1449303
5187,Pura Taman Agung Wisesa,Pura Taman,"Gg. Santan, Pemogan, Denpasar Selatan, Kota Denpasar, Bali, 80221",Pemogan,Denpasar Selatan,Kota Denpasar,Bali,80221,-8.7065001,115.194845
5188,Pura Taman Alit,Pura Taman,"Baktiseraga, Buleleng, Buleleng, Bali, 81119",Baktiseraga,Buleleng,Buleleng,Bali,81119,-8.1176273,115.0726759
5189,Pura Taman Alit Mangku,Pura Taman,"Jl. Paleg, Tianyar, Kubu, Karangasem, Bali, 80853",Tianyar,Kubu,Karangasem,Bali,80853,-8.2144188,115.4938086
5190,Pura Taman Amerta Sari,Pura Taman,"Jl. Kamboja No.18, Gulingan, Mengwi, Badung, Bali, 80351",Gulingan,Mengwi,Badung,Bali,80351,-8.5386653,115.1744311
5191,Pura Taman Amertha,Pura Taman,"Baturiti, Kerambitan, Tabanan, Bali, 82161",Baturiti,Kerambitan,Tabanan,Bali,82161,-8.541428,115.0819863
5192,"Pura Taman Ayu, Banjar Kelod Ds Antiga",Pura Taman,"Jalan Pura Andakasa, Kelod, Antiga, Manggis, Antiga, Karangasem, Karangasem, Bali, 80871",Antiga,Manggis,Karangasem,Bali,80871,-8.5166254,115.4894973
5193,Pura Taman Ayun Banjar Lebah Buana,Pura Taman,"Banjar lebah buana, Bukian, Payangan, Gianyar, Bali, 80572",Bukian,Payangan,Gianyar,Bali,80572,-8.4101366,115.2600095
5194,Pura Taman Bali,Pura Taman,"Abianjero, Ababi, Abang, Karangasem, Bali, 80852",Ababi,Abang,Karangasem,Bali,80852,-8.4167358,115.6028592
5195,Pura Taman Banjar Petapan Kaja,Pura Taman,"Pergung, Mendoyo, Pergung, Mendoyo, Jembrana, Bali, 82261",Pergung,Mendoyo,Jembrana,Bali,82261,-8.3476714,114.6962336
5196,Pura Taman Batur,Pura Taman,"Jl. Babah No.11, Sedang, Abiansemal, Badung, Bali, 80352",Sedang,Abiansemal,Badung,Bali,80352,-8.5643172,115.2399658
5197,Pura Taman Beji,Pura Taman,"Jl. Seririt-Pupuan, Rangdu, Seririt, Buleleng, Bali, 81153",Rangdu,Seririt,Buleleng,Bali,81153,-8.2366555,114.9536409
5198,Pura Taman Beji,Pura Taman,"Jl. Raya Puspa Resti No.25, Abiansemal, Abiansemal, Badung, Bali, 80352",Abiansemal,Abiansemal,Badung,Bali,80352,-8.542657,115.2095884
5199,Pura Taman Beji,Pura Taman,"Br, Jl. Legung, Tunjuk, Marga, Tabanan, Bali, 82181",Tunjuk,Marga,Tabanan,Bali,82181,-8.457625,115.1565406
5200,Pura Taman Beji Amertha Sari,Pura Taman,"Tunjuk, Tabanan, Tabanan, Bali, 82181",Tunjuk,Tabanan,Tabanan,Bali,82181,-8.470621,115.1506029
5201,Pura Taman Beji Banjar Kambangan,Pura Taman,"Apuan, Baturiti, Tabanan, Bali, 82191",Apuan,Baturiti,Tabanan,Bali,82191,-8.3801751,115.16964
5202,Pura Taman Beji Brahmana Mas,Pura Taman,"Dauh Yeh Cani, Abiansemal, Badung, Bali, 80352",Dauh Yeh Cani,Abiansemal,Badung,Bali,80352,-8.5287008,115.2083209
5203,Pura Taman Beji Jage Satru Peyogan Ratu Peranda Sakti Bau Rauh,Pura Taman,"Ababi, Abang, Karangasem, Bali, 80852",Ababi,Abang,Karangasem,Bali,80852,-8.4091439,115.5852394
5204,Pura Taman Beji Laplap Penatih,Pura Taman,"Penatih, East Denpasar, Denpasar, Bali, 80237",Penatih,Denpasar Timur,Kota Denpasar,Bali,80237,-8.6162953,115.2459316
5205,Pura Taman Beji Legung,Pura Taman,"Payangan, Marga, Tabanan, Bali, 82181",Payangan,Marga,Tabanan,Bali,82181,-8.4581871,115.156432
5206,Pura Taman Beji Manik Karang,Pura Taman,"Gg. Unta No.8, Padangsambian, Denpasar Barat, Kota Denpasar, Bali, 80118",Padangsambian,Denpasar Barat,Kota Denpasar,Bali,80118,-8.6528853,115.1883905
5207,Pura Taman Beji Nusamara,Pura Taman,"Yeh Embang Kangin, Mendoyo, Jembrana, Bali, 82261",Yeh Embang Kangin,Mendoyo,Jembrana,Bali,82261,-8.3586429,114.7840916
5208,Pura Taman Beji Pengeragoan,Pura Taman,"Pengeragoan, Pekutatan, Jembrana, Bali, 82262",Pengeragoan,Pekutatan,Jembrana,Bali,82262,-8.4451578,114.9036187
5209,Pura Taman Beji Sangkaragung,Pura Taman,"Sangkaragung, Jembrana, Jembrana, Bali, 82218",Sangkaragung,Jembrana,Jembrana,Bali,82218,-8.3706565,114.6480997
5210,Pura Taman Beji Senapahan,Pura Taman,"Banjar Anyar, Kediri, Tabanan, Bali, 82121",Banjar Anyar,Kediri,Tabanan,Bali,82121,-8.5422194,115.1527926
5211,Pura Taman Beji Sudamala Lembah Tulis Tabanan,Pura Taman,"Jalan Penebel - Biaung, Banjar Cacab Jangkahan, Biaung, Penebel, Tabanan, Bali, 82181",Biaung,Penebel,Tabanan,Bali,82181,-8.4193022,115.163912
5212,Pura Taman Beji Sudamala Sanggulan,Pura Taman,"Banjar Anyar, Kediri, Tabanan, Bali, 82121",Banjar Anyar,Kediri,Tabanan,Bali,82121,-8.5485912,115.1332215
5213,Pura Taman Beji Sunia Magendra,Pura Taman,"Desa, Dawan Kaler, Dawan, Klungkung, Bali, 80761",Dawan Kaler,Dawan,Klungkung,Bali,80761,-8.5273555,115.4506958
5214,Pura Taman Beji Tista,Pura Taman,"Jl. Batu Belig Banjar Carik, Desa, Tista, Kerambitan, Tabanan, Bali, 82161",Tista,Kerambitan,Tabanan,Bali,82161,-8.5401989,115.0724393
5215,Pura Taman Beji Pura Luhur Pucak Bukit Rangda,Pura Taman,"Jl. Raya Pucak Rangda No.II, Mundeh Kauh, Selemadeg Barat, Tabanan, Bali, 82162",Mundeh Kauh,Selemadeg Barat,Tabanan,Bali,82162,-8.4473851,114.9566282
5216,Pura Taman Bhagendra,Pura Taman,"pinge, Marga, Tabanan, Bali, 82191",pinge,Marga,Tabanan,Bali,82191,-8.3744837,115.1777123
5217,Pura Taman Bulian,Pura Taman,"Unnamed Rd,, Bulian, Kubutambahan, Buleleng, Bali, 81172",Bulian,Kubutambahan,Buleleng,Bali,81172,-8.1175254,115.2010727
5218,Pura Taman Dalem Ularan,Pura Taman,"Unnamed Road, Pejaten, Kediri, Tabanan, Bali, 82121",Pejaten,Kediri,Tabanan,Bali,82121,-8.5748757,115.1116337
5219,Pura Taman Demulih,Pura Taman,"Jl. Sri Wedari, Demulih, Susut, Bangli, Bali, 80661",Demulih,Susut,Bangli,Bali,80661,-8.4513598,115.3404949
5220,Pura Taman Desa Mayong,Pura Taman,"Bestala, Seririt, Buleleng, Bali, 81153",Bestala,Seririt,Buleleng,Bali,81153,-8.2443775,114.9692725
5221,Pura Taman Desa Munduk,Pura Taman,"Munduk, Banjar, Buleleng, Bali, 81161",Munduk,Banjar,Buleleng,Bali,81161,-8.2641839,115.058807
5222,Pura Taman Desa Tinga Tinga,Pura Taman,"Tinga Tinga, Gerokgak, Buleleng, Bali, 81155",Tinga Tinga,Gerokgak,Buleleng,Bali,81155,-8.2250178,114.839358
5223,Pura Taman Ganter,Pura Taman,"Abian Tuwung, Kediri, Tabanan, Bali, 80351",Abian Tuwung,Kediri,Tabanan,Bali,80351,-8.543362,115.1624197
5224,Pura Taman Gerokgak,Pura Taman,"Gerokgak, Buleleng, Bali, 81155",0,Gerokgak,Buleleng,Bali,81155,-8.2005667,114.7751164
5225,Pura Taman Giri Putri Rinjani,Pura Taman,"Sajang, Sembalun, East Lombok, NTB 83656",Sajang,Sembalun,Lombok Timur,NTB ,83656,-8.3271062,116.489034
5226,Pura Taman Harum Batubulan,Pura Taman,"Jl. Kapten Japa, Batubulan, Sukawati, Gianyar, Bali, 80237",Batubulan,Sukawati,Gianyar,Bali,80237,-8.6102195,115.250233
5227,Pura Taman Jagat Kebon,Pura Taman,"Jl. Pakudui No.3, Kedisan, Tegallalang, Gianyar, Bali, 80561",Kedisan,Tegallalang,Gianyar,Bali,80561,-8.4290324,115.2807188
5228,Pura Taman Jro Subamia,Pura Taman,"Jl. Murai No.11, Dauh Peken, Tabanan, Tabanan, Bali, 82114",Dauh Peken,Tabanan,Tabanan,Bali,82114,-8.5355594,115.1190081
5229,Pura Taman Jro Subamia,Pura Taman,"Gg.IX, Jl. Dukuh Jl. Teratai, Dauh Peken, Tabanan, Tabanan, Bali, 82111",Dauh Peken,Tabanan,Tabanan,Bali,82111,-8.5412665,115.1198115
5230,Pura Taman Kahyangan Batur Sari,Pura Taman,"Banjar Tabunan Puhun, Peninjoan, Tembuku, Peninjoan, Tembuku, Bangli, Bali, 80671",Peninjoan,Tembuku,Bangli,Bali,80671,-8.4211658,115.3946178
5231,Pura Taman Kencana,Pura Taman,"Mayong, Seririt, Buleleng, Bali, 81153",Mayong,Seririt,Buleleng,Bali,81153,-8.2408032,114.9618381
5232,Pura Taman Koripan,Pura Taman,"Banjar Perangsada, Pering, Blahbatuh, Gianyar, Bali, 80581",Pering,Blahbatuh,Gianyar,Bali,80581,-8.5846438,115.2988787
5233,"Pura Taman Langse, Desa Adat Gerih",Pura Taman,"Taman Langsia, Jl. Raya Gerih, Abiansemal, Abiansemal, Badung, Bali, 80352",Abiansemal,Abiansemal,Badung,Bali,80352,-8.5503687,115.2143167
5234,Pura Taman Limut,Pura Taman,"Jl. Raya Pengosekan, MAS, Ubud, Gianyar, Bali, 80571",MAS,Ubud,Gianyar,Bali,80571,-8.5321683,115.2640097
5235,Pura Taman Manik Mas Luhur,Pura Taman,"Jl. Raya Air Sanih, Bukti, Kubutambahan, Buleleng, Bali, 81172",Bukti,Kubutambahan,Buleleng,Bali,81172,-8.07838,115.2169483
